"b'SEC ICO Probe Underway, But Stories Conflict on Extent of Sweep  '",
"b""China's Police Expand Crypto Exchange Monitoring Overseas  """,
b'Chinese Police Expand Crypto Exchange Monitoring Overseas  ',
b'AriseBank ICO Fraud Case May Ensnare Additional Parties  ',
b'.@Twitter says it s watching crypto scams closely ',
b'@NeerajKA @Bitcoin That sounds like what someone who s in charge of @bitcoin would say',
b'RT @SpirosMargaris: $35 Million Refund? #Developer Appeals #Ethereum for #HardFork Hack Reversal  #fintech #Cybe',
"b""Germany Won't Tax You for Buying a Cup of Coffee With Bitcoin  """,
b'RT @obussmann: My @coindesk 2018 prediction: 2018: Another Growth Year for #Blockchain  #ICO ',
b'Genesis Trading Launches Crypto Lending Service for Investors  ',
b'Square Says Murky Accounting Rules for Crypto Pose a Business Risk  ',
b'Interesting conversations in these 2 hashtags about the big fundamental questions in blockchain -- can you fully ge ',
b'UK Bank HSBC Might Soon Pilot Live Blockchain Payments  ',
b'RT @nikhileshde: Been a busy morning but tl;dr this is the third bank to list crypto as a business risk ',
"b""RT @DwayneEMoore: The Telegram ICO: What We Know (And Don't) About 2018's Biggest Token Sale - @CoinDesk  https://t.""",
"b""RT @digreg_orio: US City Plans to Sell Tokenized Bonds in 'Initial Community Offering'  via @CoinDesk""",
"b""Meet the 'Sovereign': Marshall Islands Government to Issue Crypto Token  """,
b'Lithuanian Banking Group Warns Over Crypto Investments  ',
"b""JPMorgan Says It May Have to 'Adapt' to Counter Crypto Adoption  """,
b'CFTC Gives Green Light for Employees to Trade in Cryptocurrencies  ',
b'RT @CoinDeskMarkets: Crypto market leaders are trading on the back foot. #iota is the only gainer among top 10 cryptocurrencies (CoinMarke',
b'No Blockchain Is an Island  ',
b'RT @bitentrepreneur: Spotted this last night #bitcoin ',
b'Banking Group SBI Delays Crypto Exchange Launch  ',
b'Class Actions Mount as Coincheck Lingers Over Crypto Heist Refunds  ',
"b'RT @bitcoinmom: Look what just arrived, @mikejcasey @paulvigna I m so excited to read this! '",
"b""US City Plans to Sell Tokenized Bonds in 'Initial Community Offering'  """,
b'Bitcoin Brushes $11K as Bull Case Strengthens  ',
b'What is Circle X? Crypto Exchange Will Be More Than Coinbase Challenger  ',
b'Twitter Scammers Use Verified Accounts to Trick Crypto Holders  ',
b'EXCLUSIVE: $35 Million Refund? Developer Appeals Ethereum for Hard Fork Hack Reversal  ',
"b'RT @C1aranMurray: ""A lot of these schemes involve bitcoin and other cryptocurrencies which do not flow through the traditional financial sy'",
b'Customer ID Now Required for Crypto Exchange Purchases in Malaysia  ',
b'Chinese Universities Are Pursuing Blockchain Patents  ',
"b'RT @DelRayMan: ""We look like a basketball team,"" said @ReformedBroker, looking at @winklevoss and @tylerwinklevoss. ""You look like the coac'",
"b""Bill Gates' 'Nonsense' Crypto Comments Draw Twitter Ire  """,
"b'RT @NoelleInMadrid: With more commerce-focused coins likely to emerge this year, we need to start thinking about the UX of juggling a lot o'",
"b""Trump Administration Working on 'Comprehensive Strategy' for Crypto  """,
"b""RT @BradyDale: Heard about this Telegram thing and wondered what was up with it? Here's a roundup of all the news so far: """,
"b""Goldman Sachs Exec: Central Bank Cryptos Could Be 'Incredibly Useful'  """,
"b""RT @paulvigna: Heading up to Lincoln Center for tonight's Museum of American Finance panel on blockchain and crypto. Doors open at 5:30. Al""",
"b""The Telegram ICO: What We Know (And Don't) About 2018's Biggest Token Sale  """,
"b""StarbucksCoin? Exec Says Coffee Seller Will 'Probably' Use Blockchain  """,
b'E-Commerce Giant Rakuten Is Launching Its Own Cryptocurrency  ',
b'Venezuelan Leader Claims Big Demand for Petro Cryptocurrency  ',
"b""RT @leahfaul: Interesting read by @MarcHochstein of @coindesk: Making Peace with Crypto's Capacity for Evil. #cryptocurrency #blockchain #b""",
b'Israeli Supreme Court Rules for Bitcoin Broker in Bank Dispute  ',
b'A Ray of Hope for Utility Tokens  ',
"b""Japan's Finance Watchdog Eyeing ICO Regulation, Says Report  """,
"b'RT @MarcHochstein: My latest, with s/o s to @prestonjbyrne and @robblackwellAB '",
b'Bitcoin Cash Rallies on 38% Rise in Trading Volume  ',
b'RT @wizsecurity: Neither Wright nor Kleiman owned any of the bitcoins claimed in the lawsuit: ',
"b""RT @CryptoKitties: Limited Edition Fancy Cats are now live! Here's everything you need to know about the new feature and how we plan to i""",
b'RT @mayazi: Another important read withering a much needed discussion how value coin networks ',
b'Texas Issues Another Cease-and-Desist over Alleged Crypto Fraud  ',
"b'RT @mikejcasey: Today\'s the day. #TheTruthMachine, sequel to The Age of Cryptocurrency, is finally on sale. You can buy it ""anywhere good b'",
b'Bull Return? Bitcoin Eyes $11K Following Upside Break  ',
b'Digital Currency Group Invests in Bitcoin-Friendly Silvergate Bank  ',
"b'Bullish breakout confirmed in #NEO Prices looks set to test $ (Jan. 30 high). (daily chart, data via Bitfin '",
"b'#BTC #BTCUSD weekly chart outlook BTC trades above the rising trendline (Apr low, July low). Needs a big move abov '",
"b""Making Peace with Crypto's Capacity for Evil  """,
b'E-Commerce Giant  Launches Blockchain Startup Accelerator  ',
"b'#BitcoinCash 4-hour chart shows bullish RSI divergence and a move higher to $1,250. A high volume break above $1,3 '",
"b'#ripple #XRPUSD looks set to test supply around the trendline hurdle. (4-hour chart, Bitfinex) '",
b'Crypto Markets are solidly bid today with #NEO in lead (chart via CoinMarketCap) ',
"b'#BTC #BTCUSD remains bid, but is struggling to cut through the H&amp;S neckline resistance (former support). (4-hour '",
"b""BlackRock Cautions Crypto Investors: 'Complete Losses' Possible  """,
"b""Taiwan's New Central Bank Chief Eyes Blockchain Boost  """,
"b""ICO Ban? China's Crypto Exchanges Didn't Just Survive They're Thriving  """,
b'Tech Legend Steve Wozniak Scammed Out of $70K in Bitcoin  ',
b'Hacker Returns $26 Million in Ether Months After ICO Theft  ',
"b""50 Cent Says He 'Never Owned' Bitcoin in New Court Filing  """,
b'Bitcoin Pizza Day 2: How and Why A Lightning Payment Just Made History  ',
"b""'Satoshi' Craig Wright Is Being Sued for $10 Billion  """,
"b'CULedger, Evernym Release Digital ID Blockchain for Credit Unions  '",
b'EU Official Floats New Rules for Crypto Assets  ',
"b""In March, @Coindesk_CEO will be speaking at the Chamber's DC Blockchain Summit 2018, presenting the findings from o """,
"b""Don't miss our State Smart Contract Legislation webinar being hosted with @ChamberDigital taking place Tuesday, Feb """,
b'RT @communicable: In big crypto news of the day =&gt; Crypto Exchange Poloniex Acquired By Payments Startup Circle  via',
b'Bitcoin Core Releases Software Upgrade With Full SegWit Support  ',
b'Goldman Sachs Latest Bank to Label Crypto A Business Risk  ',
"b""Coinbase Tells 13,000 Users It's Sending Their Data to the IRS  """,
b'Crypto Exchange Poloniex Acquired By Payments Startup Circle  ',
b'W3C Vets Forego ICO for Government-Friendly Blockchain Launch  ',
b'Litecoin Price Outperforms But Nears Key Resistance  ',
b'Global AML Watchdog to Step Up Crypto Money Laundering Scrutiny  ',
"b""3 Class Actions Take Aim at Riot Blockchain's Bitcoin Pivot  """,
"b'Bitcoin Eyes $10K, But Longer Outlook Favors Bears  '",
b'Bitcoin Startup Backer BnkToTheFuture Completes $33 Million ICO  ',
"b""State-by-State Smart Contract Laws? If It Ain't Broke, Don't Fix It  """,
"b'After Facebook, Will Global Ad Regulators Reject ICOs  '",
"b""China's State Media: Blockchain Needs Regulation to Grow  """,
b'Venezuela May Move to Limit New Crypto Exchange Launches  ',
b'What to Look for in ICO Terms and Conditions  ',
b'How ICOs Can Protect Buyers from Phishing Attacks  ',
b'Will Lightning Help or Hurt Bitcoin Privacy?  ',
"b'Strip Clubs, Lambos and Hackers: A Tale of Two Bitcoins  '",
b'Video Game Giant Ubisoft Is Exploring Blockchain Use Cases  ',
b'BREAKING: New York Lawmakers Are Open to Revisiting the BitLicense  ',
b'Bank of America Now Considers Crypto a Business Risk  ',
"b'Austria Planning New Regulations for Cryptocurrency, ICOs  '",
"b""Ethereum Governance 'Not That Bad' Says Buterin Amid Fund Debate  """,
b'Georgia Becomes Latest State to Consider Bitcoin for Tax Payments  ',
"b""Senator Rep Hints At More Action on Venezuela's Controversial Crypto  """,
"b""RT @CoinDeskMarkets: #ETHUSD has created a bullish outside day candle,  today's price action has engulfed previous day's high, low. I""",
b'Nano Goes Giga in Down Week for Crypto Prices  ',
"b""High Stakes: Ethereum's Fight Over Lost Funds Explained  """,
"b'Telecoms Blockchain Group Touts Demo Success, New Members  '",
b'Bank of China Thinks It Has a Solution to the Blockchain Scaling Issue  ',
b'RT @gregkidd: Ripple Paper Pledges New Support for $40 Billion XRP  via @CoinDesk',
b'RT @IBMthinkLeaders: Take a sneak peek behind the scenes at our thinkPod podcast at the @IBM_iX NYC Studio Coming soon to #thinkLeaders',
"b'Bitcoin is Back Over $10K, But Rally Looks Weak  '",
"b""Japan's Exchanges Report 669 Cases of Suspected Crypto Money Laundering  """,
"b""Jimmy Song's New Mission: Fund Unpaid Bitcoin Coders  """,
"b""Why Venezuela's Citizens Should Worry About a National Cryptocurrency  """,
"b""SEC Advocacy Director Says Crypto Investors Shouldn't 'Flip A Coin'  """,
b'WSJ Jihadists See a Funding Boon in Bitcoin  by @ScheckWSJ &amp; @brett_forrest',
b'Report: Mutual Funds Could Save Billions With Blockchain  ',
b'RT @gendal: Nice! Love the visualisations the @coindesk team have put to the vision I outlined at Consensus last year for the potential of',
"b'RT @TheCryptoDost: First Venezuela, then Iran, now Turkey - Are national #cryptocurrencies the new normal? '",
b'Turkish Lawmaker Proposes National Cryptocurrency Creation  ',
b'Complex Crypto Founders Talk to Marc Ecko About the Future of Money ',
"b""Bitcoin Fees Are Down Big: Why It's Happening and What It Means  """,
b'French Regulator Says No to Online Crypto Derivatives Ads  ',
"b""Venezuela's President Orders State-Owned Companies to Accept the Petro  """,
b'RT @Accenture_US: #Blockchain week is coming to #NYC May 11-17 and we ll be on-site at @Coindesk s Consensus 2018 to meet with business str',
b'RT @CremeDeLaCrypto: Really excited to be working with @jimmysong to build out this new initiative and support open-source crypto developme',
b'The New Yorker Cryptocurrency: The Hail Mary Pass for People Who Missed the Tech Boom  by @annawiener',
b'RT @ErikVoorhees: ShapeShift (2% of Bitcoin Network) is Now Batching Transactions  #bitcoin @shapeshift_io',
"b'RT @0xstark: Last Wednesday, we announced @ETHGlobal - a community organization dedicated to hosting amazing hackathons like @EthereumDenve'",
b'The Next Petro? Iranian Minister Reveals Cryptocurrency Plans  ',
b'RT @jja_fr: Tezos Board Reshuffled As Johann Gevers Steps Down  via @CoinDesk',
b'Nasdaq Believes Publicly-Traded Long Blockchain Misled Investors  ',
b'Richard @gendal Brown envisions a world without massive redundancy. #consensus2017 ',
"b""RT @DelRayMan: Anyone know of any central bankers or former central bankers with some thoughts on Venezuela's #petro cryptocurrency? @coind""",
"b""RT @BLR13: I'm looking for central bankers/monetary authorities - or folks who were those things in the past - to speak about #Venezuela's""",
b'Venezuela Is Talking With Russia About Cryptocurrency  ',
b'Uphold Eyes Expansion With Mobile Payments Startup Acquisition  ',
b'Tezos Board Reshuffled As Johann Gevers Steps Down  ',
b'Investing App Robinhood Launches Crypto Trading in 5 US States  ',
"b""Litecoin Cash Has Forked But It's Hardly Trading  """,
"b""Project Platypus: Jimmy Song's Plan to Fund Unpaid Bitcoin Coders  """,
"b""RT @CoinDeskMarkets: #Bitcoin's drop below $10,000 is in line with the bearish weekly RSI discussed here  The weekl""",
b'Bitcoin Drops Below $10K as Crypto Markets Dip  ',
b'Oil Data Firm Platts Rolls Out Commercial Blockchain Platform  ',
b'UK Treasury Launches Inquiry into Cryptocurrencies and Blockchain  ',
"b""Bitcoin Rally Stalls But Bull Revival Isn't Yet Ruled Out  """,
b'India Teams with Canadian Blockchain Institute for Digital Economy Push  ',
b'Bloomberg Bitcoin and the Incredible Power of Fiction  by @matt_levine',
"b""Bitcoin Lightning Fraud? Laolu Is Building a 'Watchtower' to Fight It  """,
b'RT @Strohkirch: A good read for everyone who is involved in #ICO and US based buyers ',
"b""RT @pete_rizzo_: Handicapping @CoinDesk's # @NicolasMaduro seems like a  @bgarlinghouse is dominating ente""",
"b""Opinion The Legal Risk to ICOs That No One's Talking About  """,
"b""Fortune Inside Uncle Sam's Secret Bitcoin Hoard  by @jeffjohnroberts """,
"b""Venezuela's Cryptocurrency Is Here, But Who's Involved Isn't Clear  """,
"b'Forbes With Its First-Ever Blockchain Week, New York City Aims To Become Global Epicenter Of Crypto '",
b'Be sure to check out the other openings here at CoinDesk! ',
"b'And we are always on the lookout for great journalists and writers, including a markets analyst. '",
b'We are looking for a social media &amp; audience development manager. ',
b'We are hiring a program manager who can help with the multiple projects being worked on simultaneously. ',
"b'We have a variety of internships, including in digital media strategy. '",
"b""We have multiple openings to join our engineering, marketing, and editorial teams here in our NYC office. If you're """,
b'US Government Arrests Bitcoin Stock Exchange Founder  ',
b'#AlFuturoConElPetro? What Venezuelans Are Saying About Their National Cryptocurrency  ',
b'@twobitidiot You have some competition: ',
b'RT @albertwenger: Blog post from earlier today about a Safe Harbor regulatory approach for #crypto and #blockchain ',
b'Lawmakers Renew Calls for US to Lead on Crypto Innovation  ',
b'RT @DelRayMan: Could Moscow become a beacon of democracy? Skeptics should read about this blockchain work being done by the City of Moscow:',
b'Crypto Nodes Are One Step Closer to Legal Protection in Arizona  ',
b'BREAKING: Ripple Papers Promise New Start for $40 Billion XRP Cryptocurrency  ',
b'Announcing Blockchain Week NYC in partnership with @NYCEDC. Learn more about the multiple events taking place aroun ',
b'Ripple Adds 5 New Clients Across 4 Countries  ',
"b""RT @CoinDeskMarkets: #Bitcoin is fast losing altitude, now trading at $10,590 - down 10 percent from the previous day's high of $11,767, ac""",
"b""RT @SpirosMargaris: #Russia's Capital Is Leading the Charge for #Blockchain Democracy  #fintech #bitcoi #Digital""",
b'R3 Pilots Blockchain Trade Finance Platform with Global Banks  ',
